Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Gross Rent,Data Time Period,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,32162,FL,32162,32162,1586,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33513,FL,33513,33513,697,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33514,FL,33514,33514,816,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33521,FL,33521,33521,628,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33538,FL,33538,33538,780,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33585,FL,33585,33585,781,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33597,FL,33597,33597,791,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,34484,FL,34484,34484,853,2014-2018,2010,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,34785,FL,34785,34785,871,2014-2018,2010,Census,"Sumter (County, 2022)"
