Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Gross Rent,Data Time Period,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,33004,FL,33004,33004,1248,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33009,FL,33009,33009,1190,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33019,FL,33019,33019,1582,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33020,FL,33020,33020,1050,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33021,FL,33021,33021,1303,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33023,FL,33023,33023,1235,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33024,FL,33024,33024,1327,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33025,FL,33025,33025,1405,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33026,FL,33026,33026,1668,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33027,FL,33027,33027,1456,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33028,FL,33028,33028,1961,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33029,FL,33029,33029,2612,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33060,FL,33060,33060,1106,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33062,FL,33062,33062,1336,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33063,FL,33063,33063,1387,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33064,FL,33064,33064,1258,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33065,FL,33065,33065,1312,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33066,FL,33066,33066,1193,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33067,FL,33067,33067,1641,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33068,FL,33068,33068,1366,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33069,FL,33069,33069,1274,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33071,FL,33071,33071,1525,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33073,FL,33073,33073,1694,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33076,FL,33076,33076,2344,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33301,FL,33301,33301,1965,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33304,FL,33304,33304,1225,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33305,FL,33305,33305,1348,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33306,FL,33306,33306,1044,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33308,FL,33308,33308,1340,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33309,FL,33309,33309,1239,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33311,FL,33311,33311,1085,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33312,FL,33312,33312,1259,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33313,FL,33313,33313,1122,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33314,FL,33314,33314,1322,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33315,FL,33315,33315,1361,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33316,FL,33316,33316,1110,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33317,FL,33317,33317,1290,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33319,FL,33319,33319,1218,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33321,FL,33321,33321,1396,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33322,FL,33322,33322,1632,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33323,FL,33323,33323,1936,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33324,FL,33324,33324,1609,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33325,FL,33325,33325,1618,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33326,FL,33326,33326,1827,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33327,FL,33327,33327,2617,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33328,FL,33328,33328,1514,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33330,FL,33330,33330,2657,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33331,FL,33331,33331,2332,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33332,FL,33332,33332,2362,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33334,FL,33334,33334,1125,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33351,FL,33351,33351,1457,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33441,FL,33441,33441,1179,2014-2018,2010,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33442,FL,33442,33442,1589,2014-2018,2010,Census,"Broward (County, 2022)"
